artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Blazin' Squad;Crossroads - Radio Edit;188693;2012;144.188;set();0.746;4;-5.153
Will Young;Leave Right Now;214733;2003;81.931;pop;0.445;6;-8.674
Camila Cabello;Havana (feat. Young Thug);216896;2017;104.992;pop;0.517;7;-4.323
Lemar;If There's Any Justice;229080;2004;89.993;R&B;0.665;6;-5.348
Delta Goodrem;Lost Without You;248546;2003;146.301;pop;0.747;7;-6.682
Paulo Londra;Adan y Eva;256971;2019;171.993;hip hop, latin, Dance/Electronic;0.709;1;-4.47
Usher;Caught Up;224640;2004;110.086;hip hop, pop, R&B;0.806;6;-4.606
SAYGRACE;You Don't Own Me (feat. G-Eazy);201493;2016;186.249;pop, R&B;0.635;7;-5.653
Camille Jones;The Creeps - Fedde Le Grand Radio Mix;152333;2006;127.894;set();0.861;6;-6.632
Bruno Mars;24K Magic;225983;2016;106.97;pop;0.803;1;-4.282
Lil Nas X;Old Town Road;113000;2019;135.998;hip hop, pop;0.53;1;-6.112
Mary J. Blige;No More Drama;326240;2001;97.914;pop, R&B;0.837;6;-6.818
Erick Sermon;Music (feat. Marvin Gaye);223133;2001;100.01;hip hop, pop;0.466;10;-9.053
Omarion;Post to Be (feat. Chris Brown & Jhene Aiko);226580;2014;97.448;hip hop, pop, R&B;0.676;10;-5.655
Dr. Dre;Forgot About Dre;222293;1999;133.974;hip hop;0.74;8;-1.299
Mariah Carey;It's Like That;203360;2005;95.953;pop, R&B;0.633;8;-4.875
Eminem;River (feat. Ed Sheeran);221013;2017;90.09;hip hop;0.749;8;-5.916
Elvis Presley;A Little Less Conversation - JXL Radio Edit Remix;211506;2002;114.999;rock, easy listening;0.97;4;-5.972
G.R.L.;Ugly Heart;198306;2014;124.96;pop;0.786;9;-5.488
Ariana Grande;boyfriend (with Social House);186106;2019;190.097;pop;0.795;10;-3.731
Basshunter;Now You're Gone - Video Edit;148186;2008;147.99;pop;0.976;1;-5.503
Sheck Wes;Mo Bamba;183906;2018;146.034;hip hop;0.625;4;-5.266
Selena Gomez;Same Old Love;229080;2015;98.02;pop;0.593;11;-4.01
Missy Elliott;Work It;263226;2002;101.868;hip hop, pop, R&B;0.677;1;-5.603
Bruno Mars;Grenade;222091;2010;110.444;pop;0.558;2;-7.273
Shakira;Hips Don't Lie (feat. Wyclef Jean);218093;2005;100.024;pop, latin;0.824;10;-5.892
Jonas Blue;Rise;194407;2018;106.046;pop, Dance/Electronic;0.785;1;-4.65
Matchbox Twenty;Bent;256133;2000;95.468;pop, rock;0.83;6;-6.814
Moloko;The Time Is Now;318280;2000;127.962;pop, Dance/Electronic;0.743;9;-10.644
Creed;With Arms Wide Open;274800;1999;138.852;pop, rock, metal;0.539;0;-8.412
XXXTENTACION;SAD!;166605;2018;75.023;hip hop;0.613;8;-4.88
Eminem;Like Toy Soldiers;296880;2004;79.178;hip hop;0.768;8;-3.489
Britney Spears;Womanizer;224400;2008;139.0;pop;0.695;11;-5.226
LMFAO;Sexy And I Know It;199480;2011;130.021;hip hop, pop, Dance/Electronic;0.861;7;-4.225
Kendrick Lamar;HUMBLE.;177000;2017;150.018;hip hop;0.625;1;-6.779
James Morrison;You Give Me Something;213173;2006;79.753;pop, R&B;0.688;7;-6.496
David Guetta;This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016);207272;2016;110.169;hip hop, pop, Dance/Electronic;0.915;9;-3.456
MiMS;This Is Why I'm Hot;253706;2007;80.021;hip hop, pop;0.6;8;-6.349
Usher;Yeah! (feat. Lil Jon & Ludacris);250373;2004;105.018;hip hop, pop, R&B;0.791;2;-4.699
A Boogie Wit da Hoodie;Drowning (feat. Kodak Black);209269;2017;129.014;hip hop;0.81;5;-5.274
MIKA;Love Today;235173;2006;124.484;pop;0.913;4;-4.981
ZHU;Faded;223386;2014;124.96;Dance/Electronic;0.475;9;-7.195
Jax Jones;All Day And Night;169303;2019;121.908;hip hop, pop, Dance/Electronic;0.782;1;-4.101
Calvin Harris;Let's Go (feat. Ne-Yo);232800;2012;128.016;hip hop, pop, Dance/Electronic;0.882;4;-2.932
Coldplay;Paradise;278719;2011;139.631;rock, pop;0.585;5;-6.761
JLS;Everybody in Love;195586;2013;140.022;pop;0.783;5;-5.971
